risk_id,project_id,period_id,risk_category,risk_description,probability_score,impact_score,risk_score,risk_severity,risk_status,mitigation_status,risk_owner_type,date_identified,target_resolution_date
229,42,202511,Compliance,Control evidence incomplete,2,2,4,Low,Open,Not Started,Program Manager,2025-11-24,2026-01-22
230,43,202504,Scope,Change requests threaten baseline,2,3,6,Moderate,Closed,Complete,Program Manager,2025-04-15,2025-06-14
231,43,202503,Technical,Technical debt threatens delivery,2,3,6,Moderate,Mitigating,On Track,Business Owner,2025-03-18,2025-05-08
232,43,202608,Resource,Critical skill capacity constrained,3,3,9,Moderate,Closed,Complete,Project Manager,2026-08-25,2026-12-17
233,43,202602,Resource,Key role vacancy,3,2,6,Moderate,Mitigating,At Risk,Project Manager,2026-02-05,2026-03-22
234,44,202610,Schedule,Critical milestone slippage,5,5,25,Critical,Open,Planned,PMO,2026-10-10,2026-12-03
235,44,202612,Financial,Forecast cost exceeds approved budget,5,5,25,Critical,Open,Planned,PMO,2026-12-23,2027-02-25
236,44,202510,Resource,Critical skill capacity constrained,4,5,20,Critical,Mitigating,On Track,PMO,2025-10-14,2026-01-14
237,44,202506,Technical,Architecture risk unresolved,4,5,20,Critical,Open,Not Started,Program Manager,2025-06-22,2025-10-09
238,44,202510,Resource,Specialist allocation conflict,4,4,16,Critical,Open,Planned,PMO,2025-10-12,2026-02-07
239,44,202612,Resource,Critical skill capacity constrained,5,4,20,Critical,Mitigating,In Progress,Project Manager,2026-12-17,2027-02-25
240,44,202506,Schedule,Dependency delay threatens delivery,5,5,25,Critical,Open,Not Started,Program Manager,2025-06-16,2025-07-23
241,44,202606,Schedule,Testing window compressed,4,5,20,Critical,Mitigating,On Track,Business Owner,2026-06-10,2026-08-06
242,44,202610,Resource,Specialist allocation conflict,5,5,25,Critical,Mitigating,In Progress,PMO,2026-10-16,2027-01-28
243,44,202612,Resource,Critical skill capacity constrained,4,4,16,Critical,Open,Planned,Business Owner,2026-12-14,2027-01-23
244,45,202510,Technical,Architecture risk unresolved,4,3,12,High,Open,Not Started,Business Owner,2025-10-13,2025-12-14
245,45,202504,Schedule,Testing window compressed,4,4,16,Critical,Mitigating,In Progress,PMO,2025-04-23,2025-05-28
246,45,202503,Schedule,Testing window compressed,5,4,20,Critical,Open,Planned,Project Manager,2025-03-16,2025-06-03
247,45,202610,Vendor,Supplier capacity constraint,4,3,12,High,Mitigating,At Risk,Program Manager,2026-10-23,2026-11-29
248,45,202509,Schedule,Dependency delay threatens delivery,5,4,20,Critical,Open,Not Started,Technical Lead,2025-09-19,2025-12-11
249,45,202606,Schedule,Critical milestone slippage,4,3,12,High,Mitigating,On Track,Technical Lead,2026-06-13,2026-10-06
250,45,202605,Resource,Critical skill capacity constrained,5,4,20,Critical,Mitigating,In Progress,Project Manager,2026-05-10,2026-07-17
251,45,202507,Resource,Critical skill capacity constrained,3,4,12,High,Mitigating,In Progress,Technical Lead,2025-07-25,2025-08-25
252,45,202511,Scope,Scope growth not fully funded,5,3,15,High,Closed,Complete,PMO,2025-11-16,2026-02-21
253,46,202605,Resource,Specialist allocation conflict,2,1,2,Low,Mitigating,In Progress,PMO,2026-05-17,2026-06-16
254,46,202504,Resource,Critical skill capacity constrained,2,1,2,Low,Closed,Complete,Program Manager,2025-04-10,2025-05-18
255,46,202601,Schedule,Critical milestone slippage,1,2,2,Low,Open,Not Started,Technical Lead,2026-01-14,2026-05-08
256,47,202605,Schedule,Critical milestone slippage,1,3,3,Low,Mitigating,At Risk,Business Owner,2026-05-16,2026-07-11
257,47,202612,Compliance,Control evidence incomplete,2,3,6,Moderate,Mitigating,At Risk,Program Manager,2026-12-06,2027-03-15
258,47,202510,Resource,Critical skill capacity constrained,3,3,9,Moderate,Mitigating,On Track,Program Manager,2025-10-14,2025-11-24
259,47,202507,Resource,Key role vacancy,1,2,2,Low,Closed,Complete,Program Manager,2025-07-14,2025-10-18
260,47,202510,Resource,Specialist allocation conflict,2,3,6,Moderate,Closed,Complete,PMO,2025-10-15,2026-02-04
261,48,202511,Vendor,Vendor deliverable delayed,3,3,9,Moderate,Open,Planned,Program Manager,2025-11-10,2025-12-10
262,48,202504,Technical,Technical debt threatens delivery,5,4,20,Critical,Open,Not Started,Business Owner,2025-04-11,2025-07-30
263,48,202509,Resource,Critical skill capacity constrained,3,3,9,Moderate,Open,Planned,PMO,2025-09-07,2025-12-28
264,48,202511,Technical,Integration complexity exceeds plan,3,4,12,High,Closed,Complete,Program Manager,2025-11-23,2026-01-29
265,48,202507,Vendor,Third-party dependency at risk,3,4,12,High,Closed,Complete,Project Manager,2025-07-10,2025-09-07
266,48,202602,Scope,Scope growth not fully funded,4,3,12,High,Closed,Complete,Business Owner,2026-02-03,2026-04-11
267,48,202611,Financial,Vendor spend trending above plan,3,3,9,Moderate,Open,Not Started,Business Owner,2026-11-23,2027-01-30
268,48,202606,Schedule,Dependency delay threatens delivery,5,3,15,High,Mitigating,In Progress,Business Owner,2026-06-21,2026-07-26
269,48,202503,Scope,Requirements instability,5,4,20,Critical,Open,Not Started,Business Owner,2025-03-23,2025-07-08
270,48,202511,Resource,Critical skill capacity constrained,3,3,9,Moderate,Mitigating,On Track,PMO,2025-11-19,2026-02-18
271,49,202609,Resource,Critical skill capacity constrained,1,2,2,Low,Closed,Complete,Technical Lead,2026-09-21,2026-10-28
272,49,202604,Resource,Critical skill capacity constrained,2,3,6,Moderate,Closed,Complete,Program Manager,2026-04-21,2026-08-14
273,49,202506,Technical,Integration complexity exceeds plan,1,1,1,Low,Mitigating,At Risk,Project Manager,2025-06-07,2025-09-16
274,50,202503,Financial,Vendor spend trending above plan,2,2,4,Low,Mitigating,At Risk,Business Owner,2025-03-22,2025-05-13
275,50,202607,Resource,Specialist allocation conflict,4,3,12,High,Mitigating,On Track,Business Owner,2026-07-08,2026-08-26
276,50,202608,Schedule,Dependency delay threatens delivery,2,1,2,Low,Mitigating,In Progress,Program Manager,2026-08-08,2026-10-04
277,50,202610,Vendor,Vendor deliverable delayed,2,2,4,Low,Closed,Complete,Business Owner,2026-10-20,2027-01-03
278,51,202603,Resource,Critical skill capacity constrained,3,2,6,Moderate,Closed,Complete,Program Manager,2026-03-20,2026-05-07
279,51,202604,Compliance,Approval dependency outstanding,1,2,2,Low,Open,Not Started,Program Manager,2026-04-07,2026-06-26
280,51,202612,Schedule,Dependency delay threatens delivery,3,2,6,Moderate,Mitigating,In Progress,Project Manager,2026-12-18,2027-04-08
281,51,202601,Resource,Specialist allocation conflict,3,1,3,Low,Closed,Complete,Business Owner,2026-01-06,2026-02-12
282,52,202503,Resource,Specialist allocation conflict,3,3,9,Moderate,Mitigating,At Risk,Business Owner,2025-03-19,2025-06-23
283,52,202504,Resource,Critical skill capacity constrained,4,4,16,Critical,Mitigating,On Track,Program Manager,2025-04-22,2025-08-08
284,52,202610,Compliance,Control evidence incomplete,3,4,12,High,Open,Not Started,Project Manager,2026-10-22,2027-01-09
285,52,202501,Schedule,Testing window compressed,2,4,8,Moderate,Mitigating,On Track,Project Manager,2025-01-24,2025-05-07
286,52,202502,Resource,Critical skill capacity constrained,4,4,16,Critical,Open,Not Started,Technical Lead,2025-02-17,2025-03-23
287,52,202505,Vendor,Third-party dependency at risk,4,5,20,Critical,Open,Planned,Program Manager,2025-05-17,2025-08-28
288,53,202603,Schedule,Testing window compressed,4,3,12,High,Closed,Complete,Business Owner,2026-03-08,2026-06-03
289,53,202512,Resource,Key role vacancy,5,5,25,Critical,Closed,Complete,Project Manager,2025-12-10,2026-03-10
290,53,202604,Technical,Integration complexity exceeds plan,4,4,16,Critical,Closed,Complete,Business Owner,2026-04-21,2026-07-02
291,53,202510,Schedule,Critical milestone slippage,5,5,25,Critical,Mitigating,On Track,Technical Lead,2025-10-11,2025-12-15
292,53,202504,Resource,Specialist allocation conflict,5,4,20,Critical,Closed,Complete,Program Manager,2025-04-14,2025-06-30
293,53,202606,Compliance,Regulatory requirement unresolved,4,5,20,Critical,Mitigating,On Track,Program Manager,2026-06-23,2026-09-26
294,53,202609,Resource,Specialist allocation conflict,5,3,15,High,Open,Not Started,Project Manager,2026-09-25,2027-01-13
295,54,202502,Technical,Technical debt threatens delivery,3,4,12,High,Closed,Complete,Project Manager,2025-02-08,2025-04-18
296,54,202501,Schedule,Testing window compressed,3,3,9,Moderate,Open,Not Started,Business Owner,2025-01-08,2025-02-16
297,54,202601,Vendor,Supplier capacity constraint,3,3,9,Moderate,Mitigating,On Track,PMO,2026-01-10,2026-03-09
298,54,202607,Financial,Forecast cost exceeds approved budget,4,4,16,Critical,Mitigating,At Risk,Program Manager,2026-07-20,2026-10-02
299,54,202612,Resource,Key role vacancy,4,4,16,Critical,Closed,Complete,Business Owner,2026-12-06,2027-02-04
300,54,202512,Financial,Vendor spend trending above plan,2,4,8,Moderate,Mitigating,In Progress,PMO,2025-12-21,2026-02-06
301,55,202612,Resource,Critical skill capacity constrained,2,5,10,High,Mitigating,At Risk,Program Manager,2026-12-23,2027-04-05
302,55,202606,Compliance,Regulatory requirement unresolved,3,5,15,High,Open,Not Started,PMO,2026-06-21,2026-09-02
303,55,202607,Technical,Integration complexity exceeds plan,4,4,16,Critical,Open,Not Started,Business Owner,2026-07-22,2026-10-07
304,55,202604,Financial,Vendor spend trending above plan,2,5,10,High,Mitigating,On Track,Project Manager,2026-04-11,2026-05-15
305,55,202608,Change Management,Stakeholder resistance increasing,3,5,15,High,Open,Not Started,Technical Lead,2026-08-26,2026-09-27
306,55,202506,Schedule,Critical milestone slippage,5,5,25,Critical,Open,Planned,Program Manager,2025-06-23,2025-10-18
307,55,202512,Schedule,Dependency delay threatens delivery,4,4,16,Critical,Open,Not Started,Technical Lead,2025-12-21,2026-01-23
308,56,202602,Compliance,Control evidence incomplete,2,1,2,Low,Closed,Complete,Program Manager,2026-02-03,2026-03-19
309,56,202506,Financial,Forecast cost exceeds approved budget,2,2,4,Low,Open,Planned,Project Manager,2025-06-23,2025-08-09
310,56,202510,Change Management,Training preparation delayed,2,2,4,Low,Closed,Complete,Business Owner,2025-10-23,2025-11-22
311,57,202512,Compliance,Approval dependency outstanding,2,3,6,Moderate,Closed,Complete,Technical Lead,2025-12-12,2026-04-01
312,57,202608,Resource,Key role vacancy,2,2,4,Low,Closed,Complete,Business Owner,2026-08-17,2026-12-04
313,57,202501,Resource,Specialist allocation conflict,1,4,4,Low,Mitigating,At Risk,PMO,2025-01-18,2025-04-20
314,58,202610,Financial,Contingency reserve under pressure,4,4,16,Critical,Open,Not Started,Project Manager,2026-10-15,2026-11-20
315,58,202603,Technical,Architecture risk unresolved,3,5,15,High,Open,Planned,Program Manager,2026-03-19,2026-05-24
316,58,202506,Financial,Forecast cost exceeds approved budget,2,4,8,Moderate,Closed,Complete,Program Manager,2025-06-11,2025-08-06
317,58,202601,Financial,Forecast cost exceeds approved budget,3,4,12,High,Mitigating,At Risk,PMO,2026-01-14,2026-04-01
318,58,202505,Resource,Critical skill capacity constrained,4,4,16,Critical,Open,Planned,Project Manager,2025-05-22,2025-06-22
319,58,202507,Resource,Key role vacancy,3,4,12,High,Mitigating,At Risk,Business Owner,2025-07-20,2025-09-23
320,58,202507,Scope,Scope growth not fully funded,2,3,6,Moderate,Open,Not Started,Technical Lead,2025-07-17,2025-09-07
321,59,202604,Vendor,Third-party dependency at risk,2,4,8,Moderate,Mitigating,In Progress,Program Manager,2026-04-18,2026-07-05
322,59,202512,Scope,Scope growth not fully funded,2,3,6,Moderate,Closed,Complete,Technical Lead,2025-12-17,2026-03-17
323,59,202612,Technical,Architecture risk unresolved,2,3,6,Moderate,Closed,Complete,Business Owner,2026-12-09,2027-02-21
324,60,202601,Financial,Vendor spend trending above plan,2,4,8,Moderate,Mitigating,In Progress,Technical Lead,2026-01-07,2026-04-29
325,60,202607,Technical,Architecture risk unresolved,3,3,9,Moderate,Closed,Complete,Business Owner,2026-07-08,2026-08-14
326,60,202610,Scope,Requirements instability,3,2,6,Moderate,Mitigating,On Track,Technical Lead,2026-10-18,2027-01-04
327,60,202507,Change Management,Adoption readiness behind plan,3,3,9,Moderate,Open,Not Started,PMO,2025-07-15,2025-08-28
328,60,202603,Technical,Architecture risk unresolved,3,3,9,Moderate,Closed,Complete,Technical Lead,2026-03-19,2026-07-07
329,60,202511,Schedule,Testing window compressed,2,3,6,Moderate,Closed,Complete,PMO,2025-11-09,2026-01-17
330,60,202611,Financial,Contingency reserve under pressure,3,3,9,Moderate,Open,Planned,Business Owner,2026-11-15,2027-03-10
331,61,202511,Technical,Integration complexity exceeds plan,3,3,9,Moderate,Closed,Complete,Technical Lead,2025-11-09,2026-01-27
332,61,202501,Resource,Key role vacancy,1,2,2,Low,Mitigating,In Progress,PMO,2025-01-23,2025-04-19
333,61,202506,Change Management,Stakeholder resistance increasing,2,3,6,Moderate,Mitigating,At Risk,Program Manager,2025-06-19,2025-07-24
334,62,202607,Vendor,Supplier capacity constraint,2,2,4,Low,Open,Not Started,Program Manager,2026-07-15,2026-11-08
335,62,202505,Technical,Integration complexity exceeds plan,3,4,12,High,Closed,Complete,Project Manager,2025-05-15,2025-07-06
336,62,202506,Scope,Change requests threaten baseline,3,4,12,High,Open,Not Started,Technical Lead,2025-06-11,2025-08-30
337,63,202609,Compliance,Regulatory requirement unresolved,3,4,12,High,Open,Not Started,Business Owner,2026-09-12,2026-10-15
338,63,202509,Financial,Contingency reserve under pressure,4,5,20,Critical,Mitigating,At Risk,Technical Lead,2025-09-09,2025-12-14
339,63,202605,Scope,Requirements instability,3,5,15,High,Mitigating,On Track,Business Owner,2026-05-12,2026-08-05
340,63,202604,Scope,Requirements instability,3,3,9,Moderate,Open,Not Started,PMO,2026-04-16,2026-07-24
341,63,202603,Vendor,Supplier capacity constraint,3,3,9,Moderate,Open,Planned,Business Owner,2026-03-09,2026-05-29
342,63,202601,Compliance,Regulatory requirement unresolved,2,4,8,Moderate,Mitigating,On Track,Business Owner,2026-01-26,2026-03-14
343,64,202611,Resource,Specialist allocation conflict,5,3,15,High,Open,Planned,Business Owner,2026-11-12,2027-03-01
344,64,202604,Resource,Key role vacancy,5,3,15,High,Mitigating,In Progress,Program Manager,2026-04-21,2026-08-17
345,64,202611,Schedule,Testing window compressed,5,3,15,High,Mitigating,On Track,Project Manager,2026-11-21,2027-03-03
346,64,202609,Schedule,Critical milestone slippage,5,5,25,Critical,Open,Planned,PMO,2026-09-11,2026-12-27
347,64,202508,Resource,Critical skill capacity constrained,4,5,20,Critical,Closed,Complete,Business Owner,2025-08-19,2025-10-18
348,64,202509,Schedule,Testing window compressed,5,3,15,High,Closed,Complete,Project Manager,2025-09-17,2025-11-16
349,64,202612,Scope,Change requests threaten baseline,3,4,12,High,Mitigating,On Track,Project Manager,2026-12-14,2027-03-14
350,65,202606,Technical,Technical debt threatens delivery,2,3,6,Moderate,Mitigating,In Progress,Business Owner,2026-06-20,2026-09-25
351,65,202605,Resource,Critical skill capacity constrained,1,1,1,Low,Closed,Complete,PMO,2026-05-17,2026-06-20
352,65,202612,Compliance,Regulatory requirement unresolved,2,3,6,Moderate,Closed,Complete,PMO,2026-12-23,2027-03-25
353,65,202602,Scope,Requirements instability,3,2,6,Moderate,Open,Planned,Technical Lead,2026-02-17,2026-04-15
354,66,202608,Vendor,Vendor deliverable delayed,3,2,6,Moderate,Mitigating,On Track,Program Manager,2026-08-25,2026-09-30
355,66,202608,Technical,Architecture risk unresolved,3,3,9,Moderate,Closed,Complete,Program Manager,2026-08-10,2026-10-26
356,66,202511,Scope,Requirements instability,2,2,4,Low,Open,Planned,Business Owner,2025-11-05,2026-01-10
357,66,202506,Compliance,Control evidence incomplete,2,1,2,Low,Mitigating,On Track,Program Manager,2025-06-24,2025-10-13
358,67,202507,Technical,Technical debt threatens delivery,2,3,6,Moderate,Mitigating,On Track,PMO,2025-07-23,2025-08-24
359,67,202606,Resource,Specialist allocation conflict,2,2,4,Low,Mitigating,In Progress,Technical Lead,2026-06-07,2026-09-07
360,67,202505,Vendor,Vendor deliverable delayed,2,1,2,Low,Open,Planned,Program Manager,2025-05-17,2025-08-20
361,67,202604,Resource,Key role vacancy,2,1,2,Low,Open,Not Started,PMO,2026-04-08,2026-05-13
362,67,202503,Vendor,Vendor deliverable delayed,2,2,4,Low,Open,Not Started,Technical Lead,2025-03-09,2025-06-04
363,68,202610,Compliance,Approval dependency outstanding,4,5,20,Critical,Open,Planned,Technical Lead,2026-10-16,2026-12-04
364,68,202606,Schedule,Dependency delay threatens delivery,3,4,12,High,Mitigating,At Risk,PMO,2026-06-07,2026-08-28
365,68,202506,Financial,Vendor spend trending above plan,3,5,15,High,Mitigating,On Track,Business Owner,2025-06-21,2025-09-04
366,68,202605,Change Management,Stakeholder resistance increasing,4,5,20,Critical,Open,Not Started,Technical Lead,2026-05-08,2026-07-21
367,68,202601,Change Management,Stakeholder resistance increasing,3,5,15,High,Mitigating,In Progress,Project Manager,2026-01-12,2026-03-19
368,68,202503,Compliance,Control evidence incomplete,3,5,15,High,Open,Not Started,Business Owner,2025-03-10,2025-06-15
369,68,202602,Scope,Scope growth not fully funded,2,4,8,Moderate,Mitigating,In Progress,Business Owner,2026-02-20,2026-06-07
370,68,202606,Compliance,Regulatory requirement unresolved,3,5,15,High,Mitigating,On Track,Program Manager,2026-06-10,2026-09-21
371,68,202501,Resource,Specialist allocation conflict,3,5,15,High,Open,Planned,Program Manager,2025-01-22,2025-03-22
372,69,202512,Scope,Change requests threaten baseline,3,5,15,High,Open,Planned,Technical Lead,2025-12-15,2026-03-17
373,69,202512,Resource,Specialist allocation conflict,2,5,10,High,Open,Not Started,Technical Lead,2025-12-20,2026-02-10
374,69,202602,Change Management,Training preparation delayed,2,4,8,Moderate,Closed,Complete,PMO,2026-02-17,2026-06-08
375,69,202611,Technical,Technical debt threatens delivery,3,4,12,High,Mitigating,On Track,PMO,2026-11-15,2027-03-12
376,69,202507,Scope,Change requests threaten baseline,2,4,8,Moderate,Open,Not Started,Program Manager,2025-07-11,2025-08-13
377,69,202608,Schedule,Dependency delay threatens delivery,3,4,12,High,Mitigating,In Progress,PMO,2026-08-17,2026-11-03
378,69,202605,Schedule,Dependency delay threatens delivery,3,4,12,High,Mitigating,In Progress,Technical Lead,2026-05-22,2026-07-03
379,69,202611,Compliance,Regulatory requirement unresolved,2,5,10,High,Closed,Complete,Program Manager,2026-11-17,2026-12-24
380,69,202508,Vendor,Vendor deliverable delayed,3,5,15,High,Open,Not Started,PMO,2025-08-26,2025-12-16
381,70,202507,Financial,Contingency reserve under pressure,3,4,12,High,Open,Planned,PMO,2025-07-09,2025-10-28
382,70,202604,Schedule,Testing window compressed,3,4,12,High,Closed,Complete,Program Manager,2026-04-23,2026-07-02
383,70,202505,Schedule,Critical milestone slippage,5,3,15,High,Open,Planned,Business Owner,2025-05-26,2025-07-30
384,70,202608,Change Management,Stakeholder resistance increasing,2,4,8,Moderate,Mitigating,On Track,PMO,2026-08-10,2026-10-23
385,70,202508,Financial,Vendor spend trending above plan,4,4,16,Critical,Open,Not Started,Business Owner,2025-08-16,2025-09-27
386,70,202612,Technical,Technical debt threatens delivery,4,3,12,High,Closed,Complete,Project Manager,2026-12-19,2027-04-16
387,70,202509,Change Management,Stakeholder resistance increasing,2,5,10,High,Mitigating,At Risk,Business Owner,2025-09-10,2025-12-09
388,70,202611,Resource,Critical skill capacity constrained,4,5,20,Critical,Mitigating,In Progress,Program Manager,2026-11-08,2027-02-24
389,71,202611,Scope,Scope growth not fully funded,3,4,12,High,Closed,Complete,Program Manager,2026-11-16,2026-12-21
390,71,202504,Technical,Architecture risk unresolved,2,3,6,Moderate,Open,Planned,Technical Lead,2025-04-08,2025-06-04
391,71,202612,Vendor,Vendor deliverable delayed,2,3,6,Moderate,Mitigating,On Track,Technical Lead,2026-12-06,2027-01-25
392,71,202608,Vendor,Vendor deliverable delayed,3,3,9,Moderate,Mitigating,In Progress,Project Manager,2026-08-22,2026-11-21
393,71,202512,Vendor,Third-party dependency at risk,3,2,6,Moderate,Open,Not Started,Technical Lead,2025-12-18,2026-03-19
394,72,202612,Schedule,Testing window compressed,2,3,6,Moderate,Mitigating,On Track,Technical Lead,2026-12-16,2027-04-07
395,72,202508,Financial,Contingency reserve under pressure,2,3,6,Moderate,Open,Planned,Technical Lead,2025-08-09,2025-11-18
396,72,202608,Scope,Change requests threaten baseline,2,3,6,Moderate,Mitigating,On Track,Program Manager,2026-08-10,2026-10-26
397,72,202508,Vendor,Third-party dependency at risk,2,3,6,Moderate,Closed,Complete,Business Owner,2025-08-12,2025-11-09
398,73,202602,Resource,Specialist allocation conflict,5,5,25,Critical,Open,Not Started,Business Owner,2026-02-12,2026-05-19
399,73,202601,Resource,Specialist allocation conflict,3,5,15,High,Mitigating,In Progress,Technical Lead,2026-01-12,2026-03-20
400,73,202606,Resource,Key role vacancy,5,4,20,Critical,Open,Planned,Program Manager,2026-06-18,2026-09-10
401,73,202505,Schedule,Dependency delay threatens delivery,5,3,15,High,Open,Planned,Business Owner,2025-05-14,2025-06-26
402,73,202612,Change Management,Training preparation delayed,4,4,16,Critical,Mitigating,At Risk,Program Manager,2026-12-20,2027-03-22
403,73,202611,Resource,Critical skill capacity constrained,3,5,15,High,Closed,Complete,Program Manager,2026-11-22,2027-01-11
404,73,202508,Financial,Vendor spend trending above plan,4,4,16,Critical,Open,Planned,Program Manager,2025-08-23,2025-12-04
405,74,202508,Technical,Architecture risk unresolved,3,3,9,Moderate,Mitigating,At Risk,Project Manager,2025-08-18,2025-11-09
406,74,202610,Change Management,Adoption readiness behind plan,3,2,6,Moderate,Open,Planned,Technical Lead,2026-10-07,2026-11-21
407,74,202505,Resource,Critical skill capacity constrained,3,2,6,Moderate,Closed,Complete,Business Owner,2025-05-14,2025-08-11
408,74,202603,Resource,Critical skill capacity constrained,5,3,15,High,Open,Not Started,Project Manager,2026-03-20,2026-05-28
409,74,202506,Technical,Architecture risk unresolved,4,2,8,Moderate,Open,Not Started,PMO,2025-06-15,2025-08-30
410,74,202504,Resource,Key role vacancy,5,3,15,High,Mitigating,In Progress,Business Owner,2025-04-11,2025-07-28
411,74,202611,Resource,Critical skill capacity constrained,2,2,4,Low,Open,Not Started,Business Owner,2026-11-11,2027-01-01
412,75,202505,Technical,Architecture risk unresolved,3,3,9,Moderate,Open,Not Started,PMO,2025-05-19,2025-07-30
413,75,202604,Technical,Technical debt threatens delivery,1,3,3,Low,Open,Not Started,Technical Lead,2026-04-25,2026-08-14
414,75,202607,Financial,Forecast cost exceeds approved budget,1,4,4,Low,Closed,Complete,Project Manager,2026-07-07,2026-09-20
415,76,202607,Technical,Integration complexity exceeds plan,2,2,4,Low,Closed,Complete,PMO,2026-07-17,2026-09-14
416,76,202611,Change Management,Stakeholder resistance increasing,2,2,4,Low,Closed,Complete,Technical Lead,2026-11-07,2027-01-07
417,76,202602,Change Management,Adoption readiness behind plan,2,2,4,Low,Mitigating,On Track,PMO,2026-02-16,2026-04-24
418,76,202611,Schedule,Critical milestone slippage,2,3,6,Moderate,Open,Planned,Technical Lead,2026-11-08,2027-01-15
419,76,202604,Resource,Specialist allocation conflict,3,2,6,Moderate,Open,Not Started,Business Owner,2026-04-25,2026-07-05
420,77,202604,Financial,Forecast cost exceeds approved budget,2,2,4,Low,Closed,Complete,Technical Lead,2026-04-06,2026-07-21
421,77,202604,Technical,Integration complexity exceeds plan,2,1,2,Low,Mitigating,At Risk,Business Owner,2026-04-18,2026-07-23
422,77,202608,Resource,Key role vacancy,2,3,6,Moderate,Closed,Complete,Project Manager,2026-08-14,2026-09-23
423,77,202608,Technical,Integration complexity exceeds plan,3,2,6,Moderate,Mitigating,At Risk,Program Manager,2026-08-24,2026-09-23
424,78,202506,Scope,Change requests threaten baseline,5,5,25,Critical,Mitigating,At Risk,PMO,2025-06-07,2025-09-16
425,78,202601,Financial,Forecast cost exceeds approved budget,4,5,20,Critical,Mitigating,At Risk,Program Manager,2026-01-06,2026-03-24
426,78,202502,Technical,Technical debt threatens delivery,5,5,25,Critical,Open,Not Started,Business Owner,2025-02-17,2025-05-28
427,78,202612,Compliance,Regulatory requirement unresolved,4,4,16,Critical,Open,Not Started,Program Manager,2026-12-24,2027-03-09
428,78,202603,Vendor,Supplier capacity constraint,5,5,25,Critical,Open,Not Started,Program Manager,2026-03-08,2026-06-01
429,78,202512,Technical,Integration complexity exceeds plan,3,5,15,High,Mitigating,At Risk,PMO,2025-12-19,2026-02-12
430,78,202610,Financial,Vendor spend trending above plan,5,5,25,Critical,Open,Not Started,Business Owner,2026-10-19,2026-12-27
431,78,202607,Schedule,Testing window compressed,5,5,25,Critical,Open,Planned,Program Manager,2026-07-11,2026-08-19
432,78,202511,Financial,Forecast cost exceeds approved budget,3,4,12,High,Mitigating,On Track,Technical Lead,2025-11-14,2025-12-14
433,79,202507,Resource,Critical skill capacity constrained,3,2,6,Moderate,Closed,Complete,Technical Lead,2025-07-07,2025-08-19
434,79,202502,Resource,Specialist allocation conflict,2,1,2,Low,Mitigating,At Risk,Business Owner,2025-02-14,2025-03-27
435,79,202502,Technical,Integration complexity exceeds plan,3,2,6,Moderate,Open,Not Started,PMO,2025-02-04,2025-03-14
436,79,202503,Resource,Key role vacancy,1,2,2,Low,Closed,Complete,Project Manager,2025-03-10,2025-05-30
437,80,202610,Financial,Contingency reserve under pressure,1,2,2,Low,Closed,Complete,PMO,2026-10-10,2026-11-17
438,80,202602,Vendor,Vendor deliverable delayed,2,2,4,Low,Closed,Complete,Technical Lead,2026-02-07,2026-06-02
439,80,202604,Resource,Critical skill capacity constrained,2,2,4,Low,Closed,Complete,Program Manager,2026-04-09,2026-06-25
440,80,202510,Resource,Critical skill capacity constrained,2,2,4,Low,Closed,Complete,Business Owner,2025-10-08,2025-11-22
441,80,202603,Scope,Requirements instability,2,2,4,Low,Mitigating,On Track,Technical Lead,2026-03-09,2026-05-22
442,81,202610,Financial,Contingency reserve under pressure,1,2,2,Low,Open,Planned,PMO,2026-10-16,2026-12-06
443,81,202506,Schedule,Dependency delay threatens delivery,3,3,9,Moderate,Mitigating,On Track,Program Manager,2025-06-06,2025-08-29
444,81,202608,Financial,Forecast cost exceeds approved budget,2,2,4,Low,Closed,Complete,Project Manager,2026-08-08,2026-09-26
445,81,202503,Change Management,Adoption readiness behind plan,3,2,6,Moderate,Open,Not Started,Technical Lead,2025-03-12,2025-04-28
446,82,202609,Resource,Key role vacancy,3,5,15,High,Mitigating,On Track,Technical Lead,2026-09-07,2027-01-03
447,82,202511,Schedule,Dependency delay threatens delivery,5,5,25,Critical,Open,Not Started,PMO,2025-11-20,2026-02-27
448,82,202510,Schedule,Critical milestone slippage,4,5,20,Critical,Open,Not Started,Technical Lead,2025-10-11,2026-01-29
449,82,202509,Financial,Contingency reserve under pressure,4,5,20,Critical,Closed,Complete,Project Manager,2025-09-14,2025-12-25
450,82,202503,Financial,Vendor spend trending above plan,4,5,20,Critical,Open,Planned,PMO,2025-03-24,2025-06-18
451,82,202506,Resource,Key role vacancy,5,5,25,Critical,Mitigating,In Progress,Program Manager,2025-06-24,2025-09-02
452,82,202606,Schedule,Critical milestone slippage,4,5,20,Critical,Mitigating,On Track,Program Manager,2026-06-06,2026-08-31
453,83,202602,Resource,Key role vacancy,1,1,1,Low,Closed,Complete,PMO,2026-02-10,2026-03-18
454,83,202607,Change Management,Stakeholder resistance increasing,2,2,4,Low,Closed,Complete,PMO,2026-07-17,2026-09-10
455,83,202612,Schedule,Dependency delay threatens delivery,2,2,4,Low,Open,Not Started,Business Owner,2026-12-13,2027-03-19
456,83,202508,Resource,Specialist allocation conflict,1,3,3,Low,Open,Not Started,Business Owner,2025-08-21,2025-12-18
